CodEqu,Descri,CosDia
ARB009,EQUIPO PARA CORTE DE VEGETACION MANUAL,5.53
ARB010,ARNES SEGURIDAD P/TRABAJO EN ALTURA 1 JG,7.69
ARB011,CORTADORA DE GRAMA 5.0 HP C/MOTOR A GASO,66.06599999999999
ARB012,"MACHETE LINIERO DE 22""",0.20581
ARB013,PODADORA DE GRAMA A GASOLINA IMPORTADA,110.11
ARB014,RASTRILLO DE 16 DIENTES METALICO,0.9244
ARB015,"TIJERA DE PODAR DE 20""",2.6436
ARB016,HACHA GRANDE,1.4318000000000002
ARB017,"HACHA TRAMONTINA DE 3,5 LBS C/CABO",1.6516
ARB018,FORMON P/MADERA CARPINTERIA,0.5946
ARB019,JUEGO DE FORMONES P/MADERA CARPINTERIA,0.6932999999999999
ARB213,SIERRA ELECTRICA CIRCULAR DE DISCO P/MAN,330.32
ASF001,CAMION ROSCO IMPRIMADOR ASFALTO,495.52
ASF002,CAMION CON IMPRIMADOR ROSCO,162.325548
ASF003,CORTADORA DE ASFALTO/CONCRETO,385.41
ASF004,CAMION F-8000 CON EQUIPO DE ENGRASE,528.532544
ASF005,HERRAMIENTAS P/COLOCAR CONCRETO ASFALTIC,77.06
ASF006,FINISHER PARA ASFALTO CAT. MOD. AP 200 B,214.7164
ASF007,FINISHER PAVIMENTADORA CAT AP 800C O SIM,1761.79
ASF008,GUILLOTINA PARA CORTE DE ASFALTO,330.32
ASF009,HERRAMIENTAS MENORES P/COLOCACION ASFALT,13.2128
ASF010,HERRAMIENTAS PARA COLOCACION DE ASFALTO,44.03
ASF011,HERRAMIENTAS PARA COLOCACION DE IMPRIMAC,3.853
ASF012,MAQUINA DE CORTAR ASFALTO-CONCRETO,572.57696
ASF013,MAQUINA MEZCLADORA Y COLOCADORA DE SLURR,59.45988
ASF014,MINIFINISHER PARA ASFALTO LEE BOY MOD 90,172.96228739999998
ASF015,MOTOBARREDORA SUCCIONADORA DE AIRE JOHNS,35.125464
ASF016,PALIN ROMPEASFALTO PARA MARTILLO,8.918909999999999
ASF017,PERFILADORA DE ASFALTO WIRTGEN 1000 VC,86.65874
ASF018,PLANTA MEZCLADORA DE ASFALTO 250 TON,1321.1608359
ASF019,FRESADORA DE ASFALTO WIRTGEN 100C O SIMI,157.74485330000002
ASF020,PERFORADORA CORE DRILL - EXCLUYE BROCA,110.11
ASF021,"PUNTA P/ASFALTO (PALA 5"") MARTILLO NEUMA",1.25508
ASF022,RECUPERADORA DE ASFALTO CATERPILLAR RR-2,3303.33
ASF023,REGADOR DE ASFALTO CAP=600 GL MEPRE O SI,37.9382
ASF024,REGADOR DE ASFALTO CAP=600GL,57.9146
