CodMat,Descri,CosMat
MAT1372,FIBRA D/VIDRIO ASFALTICA (IPAGLASS) ROLLO= 50 m2,1.0915384615384616
MAT2079,PROTECAPA EMULSION ASFALTICA -CUÑETE= 5 Gal,128.51615384615383
MAT2233,REM-9042 RECUBR.CAPA IMPERM.C/PINTURA BASE ASF. C/ALUM.,69.27707692307693
MAT1584,LAM. BASE P/IMPERMEABILIZ. D/TECHOS/MADERA e=1.5cm 20m2,1.6550769230769231
MAT2234,REM-9043 RECUBR.EXT.TECHOS C/TEJAS CRIOLLAS.INC.MORTERO,72.36476923076923
MAT2583,"TELA D/FIBRA D/VIDRIO ASFALTADA ROLLO: L=50m, ANCHO=1m",0.784
MAT2304,SELLADOR A BASE DE SILICON SILIKONIT (Rend=20 m2/gal),84.38384615384615
MAT1993,PINTURA ALUMINIO,386.3076923076923
MAT2579,"TEJA ASFALTICA HEXAGONAL ROJA DE e=3mm, ROLLO= 3m2",133.78215384615385
MAT2096,PUERTA DE ALUMINIO BLANCO BATIENTE S/VIDRIO,1940.2807692307692
MAT3179,VIDRIO PLANO e= 5 mm,115.83061538461538
MAT2099,"PUERTA METAL 1 LAM/LISA MARCO HOJA 3""x1"" FOND.S/MARC",845.3507692307693
MAT0475,"BISAGRA 3"" x 3"" e= 2 mm LATON PULIDO",24.754461538461538
MAT2100,"PUERTA METAL./ROMAN. MARCO HOJA 3""x1-1/2"" FOND.S/MARCO",1062.8403076923075
MAT2101,PUERTA METALICA ENTAMB. LAM. CAL 18 FONDEA. S/MARCO,1068.3712307692308
MAT1081,CORREDERA P/PUERTAS REJAS METALICAS GUIA:M-2271 L=6.1 m,1118.9916923076923
MAT2082,"PTA. REJ/MAR/HOJ 3""x1-1/2""/REL.1-1/2""x3/4""C/5cm S/MAR.",1031.7112307692307
MAT3170,"VENTANA HIERRO BATIENT. S/VIDRIOS TUBO 2"" x 1"" Y 1""x 1""",993.3912307692308
MAT3165,VENTANA DE ALUMINIO BATIENTE COLOR BLANCO S/VIDRIO,1329.7856923076924
MAT3169,"VENTANA DE HIERRO CORREDERA TUBO 3"" x 1"" Y 1"" x 1""",1274.4781538461539
MAT3164,VENTANA D/ALUMINIO CORREDERA SERIE 300 C/VID.INC.RODAJE,937.3189230769232
MAT3168,"VENTANA DE HIERRO BASCULANTE-ANGULOS 1"" x 1/8""",1190.8463076923076
MAT3163,"VENT. MET.BASCUL.MARCO A PARED TUBO 3""x1"" CAL.15 Y MARC",1305.5726153846153
MAT1801,MECANISMO ALUMINIO TIPO MACUTO (PALANCA),170.95446153846154
MAT3166,VENTANA DE ALUMINIO CELOSIA CON PALETAS DE ALUMINIO,685.5109230769231
MAT3167,"VENTANA DE ALUMINIO CELOSIA, CON VIDRIO",689.3836923076924
MAT2908,"TUBO D/ACERO RECT 2""x1"" L=6 m e= 1.10 mm; 1.293Kgf/m",97.57830769230769
MAT1657,"LIJA 3-M GRANO 80 PLIEGO 9 x 11""",9.899384615384616
MAT1412,FONDO ANTICORROSIVO,251.3846153846154
MAT2358,SOLVENTE UNIVERSAL,192.38292307692308
MAT0447,"BARRA CUADRADA D/HIERRO DE 1/2""x1/2"" L=6m; 1.13Kgf/m",22.54230769230769
MAT0445,"BARRA CIRCULAR D/HIERRO DE 1/2"" L=6m; 0.89Kgf/m",20.814
MAT1780,MARCO DE HIERRO P/PUERTAS CAL 18 e= 10 cm. C/BISAGRAS,145.50938461538462
MAT1781,MARCO DE HIERRO P/PUERTAS CAL 18 e= 15 cm. C/BISAGRAS,156.798
MAT1782,MARCO DE HIERRO P/PUERTAS CAL 18 e= 20 cm. C/BISAGRAS,162.39538461538461
MAT1783,MARCO DE HIERRO P/VENTANAS e= 10 cm.,95.17138461538462
MAT1779,MARCO DE HIERRO P/CLOSET e= 10 cm.,91.11061538461537
MAT2098,"PUERTA DE MAD. MACIZA CEDRO 2,11 x 0,91 m",1333.1766153846154
MAT2097,"PUERTA DE MAD. ENTAMBORADA 0,80 x 2,10 m",690.804923076923
MAT1736,"MADERA CHAPILLA DE CEDRO 270 x 17 x 0,7 cm",51.604000000000006
MAT0474,BISAGRA 21 cm. TIPO VAIVEN DE PISO ( IMPORTADA ),34.604461538461535
MAT1481,HERRAJE P/PUERTA CORRED.CLOSET 2 RUEDA LONG = 2.00m,55.65692307692307
MAT1741,MADERA TABLA DE CAOBA e= 40 mm,7064.488307692308
MAT1747,MADERA TABLON CEPILLADO SAMAN e= 5cm,7746.692307692308
MAT1785,MARCO DE MADERA e= 10 cm.,119.96507692307692
MAT1786,MARCO DE MADERA e= 15 cm.,179.94753846153847
MAT1787,MARCO DE MADERA e= 20 cm.,239.93
MAT2282,"RODAPIE DE MADERA CEDRO 1 x 7,5 cm",16.69707692307692
MAT2613,"TORNILLO CAB-PLANA-MADERA 2"" X 10""",5.959846153846153
MAT1658,"LIJA 3-M GRANO 150 PLIEGO 9 x 11""",10.412923076923077
MAT2308,SELLADOR NITRO P/MADERA MARCA VITRO,42.94815384615385
MAT1743,MADERA TABLA MACH.CEPILL/ALGARROBO/P/TECH D=1.30x7.00cm,142.3136923076923
MAT2639,TRANCADORES IMANTADOS P/PUERTA DE GABINETES,15.704
MAT1744,"MADERA TABLA MACH.CEPILL/PUY-PUY P/PISO D=1,80x10cm",289.83215384615386
MAT1739,MADERA GAVETERO DE SAQUI-SAQUI 4 GAVETAS DE 52 x 42 cm,1673.6196923076923
MAT1794,MASTIQUE P/VIDRIOS,24.680153846153846
MAT3177,VIDRIO PLANO e= 3 mm,65.85984615384616
MAT3178,VIDRIO PLANO e= 4 mm,112.684
MAT3180,VIDRIO PLANO e= 6 mm,138.73738461538463
MAT3175,VIDRIO PLANO BRONCE e= 5 mm,262.0498461538462
MAT3176,VIDRIO PLANO BRONCE e= 6 mm,273.03415384615386
MAT3173,VIDRIO DE PALETA PLANO e= 5 mm,204.896
MAT3174,VIDRIO ESCARCHADO e= 4 mm,135.8293846153846
MAT2594,"TIRRO CELOVEN A= 1"" L=45 m",35.38461538461539
MAT2001,PINTURA ESMALTE BRILLANTE MONTAFIX,350.71584615384614
MAT1344,ESTOPA NACIONAL PESO= 12Kgf/rollo,41.83292307692307
MAT1885,PASTA PROFESIONAL MARCA MASTIC (MASTIQUE P/PINTOR),191.3496923076923
