CodMat,Descri,UniMat,CosMat
MAT2696,"TUB.PVC C/AB ExJUS JTA.USF/ACU.D=250x11,9mmP=142psiL=6m",m,256.68107692307694
MAT2698,TUB.PVC C/AB ExJUS JTA.USF/ACU.D=315x15mmP=142psi L=6m,m,395.4576923076923
MAT2700,"TUB.PVC C/AB ExJUS JTA.USF/ACU.D=400x19,1mmP=142psiL=6m",m,644.5801538461538
MAT2701,"TUB.PVC C/AB ExJUS JTA.USF/ACU.D=500x19,2mmP=142psiL=6m",m,925.7575384615384
MAT2706,"TUB.PVC C/AC ExJUS JTA.USF/ACU.D=75x5,6mmP=227psi L=6m",m,39.363692307692304
MAT2704,"TUB.PVC C/AC ExJUS JTA.USF/ACU.D=110x8,2mmP=227psiL=6m",m,83.06092307692307
MAT2705,"TUB.PVC C/AC ExJUS JTA.USF/ACU.D=160x11,9mmP=227psiL=6m",m,181.55492307692307
MAT2783,"TUBERIA PVC CxE NOM. C/AO SANT.D=50mm e=1,8mm L=3,00m",m,7.524153846153846
MAT3201,YEE PVC ExCxC SANITARIA D=50 mm,pieza,6.892307692307693
MAT2434,TAPON DE REGISTRO PVC SANITARIA DIAM. 50 mm,pieza,9.287384615384614
MAT0909,CODO PVC 45Ã‚Âº CxE SANITARIA DIAM. 50 mm,pieza,3.635692307692308
MAT1658,"LIJA 3-M GRANO 150 PLIEGO 9 x 11""",pieza,10.412923076923077
MAT2470,TEE DOBLE PVC ExCxC SANITARIA DIAM. 50 mm,pieza,11.751384615384616
MAT0917,"CODO PVC SANITARIA CxE 87,5Ã‚Âº DIAM. 50 mm",pieza,4.635076923076923
MAT2521,TEE PVC ExCxC SANITARIA DIAM. 50 mm,pieza,6.478769230769231
MAT3202,YEE PVC ExCxC SANITARIA D=75 mm,pieza,11.406769230769232
MAT2784,"TUBERIA PVC CxE NOM. C/AO SANT.D=75mm e=1,8mm L=3,00m",m,12.319999999999999
MAT0918,"CODO PVC SANITARIA CxE 87,5Ã‚Âº DIAM. 75 mm",pieza,7.943384615384616
MAT2522,TEE PVC ExCxC SANITARIA DIAM. 75 mm,pieza,11.458461538461538
MAT2435,TAPON DE REGISTRO PVC SANITARIA DIAM. 75 mm,pieza,10.252307692307692
MAT0910,CODO PVC 45Ã‚Âº CxE SANITARIA DIAM. 75 mm,pieza,5.134769230769231
MAT2657,TRANSPORTE DE MATERIALES ( 5%),%,0.0007692307692307692
MAT3013,"TUBO PVC AN NORMAL 6"" L= 3.00 m",m,33.10738461538462
MAT3014,"TUBO PVC AN NORMAL 8"" L= 3.00 m",m,51.613692307692304
MAT3200,YEE PVC ExCxC SANITARIA D=110 mm,pieza,27.224615384615383
MAT3189,YEE DOBLE PVC ExCxC SANITARIA D=110 mm,pieza,42.83569230769231
MAT2785,"TUBERIA PVC CxE NOMI.C/AO SANT.D=110mm e=2,20mm L=3,00m",m,19.936
MAT0908,"CODO PVC SANITARIA CxE 87,5Ã‚Âº DIAM. 110 mm",pieza,14.870153846153846
MAT2520,TEE PVC ExCxC SANITARIA DIAM. 110 mm,pieza,20.65969230769231
MAT2433,TAPON DE REGISTRO PVC SANITARIA DIAM. 110 mm,pieza,15.369846153846153
MAT0813,CODO 45Ã‚Âº PVC CxE SANITARIA DIAM. 110 mm,pieza,8.494769230769231
MAT2792,"TUBERIA PVC CxE REFORZ. SANT.D=50mm e=3,20mm L= 3,00m",m,14.439384615384615
MAT2790,"TUBERIA PVC CxE REFORZ. SANT.D= 75mm e=3,2mm L=3,00m",m,22.308153846153846
MAT2791,"TUBERIA PVC CxE REFORZ. SANT.D=110mm e=3,20mm L=3,00m",m,33.071538461538466
MAT2707,TUB.PVC ExC JTA/UNISAFE ALCANTAR. D= 160x3.2mm L=3.00m,m,46.49430769230769
MAT2709,TUB.PVC ExC JTA/UNISAFE ALCANTAR. D= 200x4.0mm L=3.00m,m,76.52184615384616
MAT2711,TUB.PVC ExC JTA/UNISAFE ALCANTAR. D= 250x4.9mm L=3.00m,m,119.78830769230768
MAT2713,TUB.PVC ExC JTA/UNISAFE ALCANTAR. D= 315x6.2mm L=3.00m,m,167.954
MAT2715,TUB.PVC ExC JTA/UNISAFE ALCANTAR. D= 400x7.9mm L=3.00m,m,300.16
MAT2717,"TUB.PVC ExC JTA/UNISAFE ALCANTAR. D= 500x9,8mm L=3.00m",m,690.5173846153846
MAT2708,TUB.PVC ExC JTA/UNISAFE ALCANTAR. D= 160x3.2mm L=6.00m,m,42.90169230769231
MAT2710,TUB.PVC ExC JTA/UNISAFE ALCANTAR. D= 200x4.0mm L=6.00m,m,67.62507692307692
MAT2712,TUB.PVC ExC JTA/UNISAFE ALCANTAR. D= 250x4.9mm L=6.00m,m,104.93538461538462
MAT2714,TUB.PVC ExC JTA/UNISAFE ALCANTAR. D= 315x6.2mm L=6.00m,m,165.6250769230769
MAT2716,TUB.PVC ExC JTA/UNISAFE ALCANTAR. D= 400x7.9mm L=6.00m,m,280.4307692307692
MAT2718,"TUB.PVC ExC JTA/UNISAFE ALCANTAR. D= 500x9,8mm L=6.00m",m,547.9987692307692
MAT2680,"TUB.ExE PVC P/EST/ASTM2307/ALCT.Novaloc D24""/365mmL3m",m,139.44246153846154
MAT2682,"TUB.ExE PVC P/EST/ASTM2307/ALCT.Novaloc D27""/710mmL3,3m",m,145.438
MAT2684,"TUB.ExE PVC P/EST/ASTM2307/ALCT.Novaloc D30""/790mmL2,9m",m,168.98492307692308
MAT2686,"TUB.ExE PVC P/EST/ASTM2307/ALCT.Novaloc D33""/874mmL2,4m",m,269.0576923076923
MAT2688,"TUB.ExE PVC P/EST/ASTM2307/ALCT.Novaloc D36""/949mmL3,3m",m,273.19692307692304
MAT2678,"TUB.ExE PVC P/EST/ASTM2307/ALC.Novaloc D39""/1025mmL3,1m",m,308.944
MAT2681,"TUB.ExE PVC P/EST/ASTM2307/ALCT.Novaloc D24""/365mmL5,9m",m,124.618
MAT2683,"TUB.ExE PVC P/EST/ASTM2307/ALCT.Novaloc D27""/710mmL5m",m,134.9026153846154
MAT2685,"TUB.ExE PVC P/EST/ASTM2307/ALCT.Novaloc D30""/790mmL4,4m",m,155.59615384615384
MAT2687,"TUB.ExE PVC P/EST/ASTM2307/ALCT.Novaloc D33""/874mmL3,9m",m,251.1376923076923
MAT2689,"TUB.ExE PVC P/EST/ASTM2307/ALCT.Novaloc D36""/949mmL6,6m",m,249.82569230769232
MAT2679,"TUB.ExE PVC P/EST/ASTM2307/ALC.Novaloc D39""/1025mmL6,1m",m,283.66276923076924
MAT2668,TUB. PVC EJAxC D/P EST.4KN/m2 ALC.Novafort D=160mm L=6m,m,33.241076923076925
MAT2670,TUB. PVC EJAxC D/P EST.4KN/m2 ALC.Novafort D=200mm L=6m,m,55.96846153846153
MAT2672,TUB. PVC EJAxC D/P EST.4KN/m2 ALC.Novafort D=250mm L=6m,m,73.43184615384615
MAT2674,TUB. PVC EJAxC D/P EST.4KN/m2 ALC.Novafort D=315mm L=6m,m,127.63692307692307
MAT2676,TUB. PVC EJAxC D/P EST.4KN/m2 ALC.Novafort D=400mm L=6m,m,227.31984615384616
