CodMat,Descri,CosMat
ARC029,LADRILLO ARCILLA PERFORADO 05X11X24 (64/,0.42
ARC030,LADRILLO ARCILLA PERFORADO RAYADO 05X11X,0.42
ARC031,LADRILLO ARCILLA TAPON MACIZO O.L 05X05X,0.64
ARC032,TABLITA RAYADA 02X05X24 ARCILLA 64/M2,0.26
ARC033,TABLITA PERFORADA ARCILLA 03X05X24 DOBLE,0.48
ARC034,TABLITA ARCILLA DE TACO 03 X 06 X 24,0.26
ARC035,LADRILLO ARCILLA PERFORADO REDONDO 05X11,0.42
ARC036,BLOQUE ARCILLA VENTILACION 2 HUECOS 11X1,1.18
CON343,CONCRETO PREMEZCLADO F'C 310 KG/CM2 AS=3,132.23
CON344,CONCRETO PREMEZCLADO F'C 310 KG/CM2 AS=5,134.77
CON345,CONCRETO PREMEZCLADO F'C 310 KG/CM2 AS=5,143.23
CON346,CONCRETO PREMEZCLADO F'C 310 KG/CM2 AS=7,143.23
CON347,CONCRETO PREMEZCLADO F'C 330 KG/CM2 AS=3,135.97
CON348,CONCRETO PREMEZCLADO F'C 330 KG/CM2 AS=5,139.83
CON349,CONCRETO PREMEZCLADO F'C 330 KG/CM2 AS=5,143.57
CON350,CONCRETO PREMEZCLADO F'C 330 KG/CM2 AS=7,145.46
CON351,CONCRETO PREMEZCLADO F'C 350 KG/CM2 AS=3,159.78
CON352,CONCRETO PREMEZCLADO F'C 350 KG/CM2 AS=5,159.78
CON353,CONCRETO PREMEZCLADO F'C 350 KG/CM2 AS=5,159.78
CON354,CONCRETO PREMEZCLADO F'C 350 KG/CM2 AS=7,170.8
CON355,CONCRETO PREMEZCLADO F'C 380 KG/CM2 AS=3,165.32
CON356,CONCRETO PREMEZCLADO F'C 380 KG/CM2 AS=5,146.52
CON357,CONCRETO PREMEZCLADO F'C 380 KG/CM2 AS=5,198.38
CON358,CONCRETO PREMEZCLADO F'C 380 KG/CM2 AS=7,176.32
CON359,"CONCRETO PREMEZCLADO F'C 80 KG/CM2 AS=3""",87.07
CON360,"CONCRETO PREMEZCLADO F'C 80 KG/CM2 AS=5""",88.17
CON361,CONCRETO PREMEZCLADO F'C 100 KG/CM2 AS=3,80.47
CON362,CONCRETO PREMEZCLADO F'C 100 KG/CM2 AS=5,92.15
CON363,CONCRETO PREMEZCLADO F'C 120 KG/CM2 AS=3,91.46
CON364,CONCRETO PREMEZCLADO F'C 120 KG/CM2 AS=5,95.21
CON365,CONCRETO PREMEZCLADO F'C 150 KG/CM2 AS=3,96.98
CON366,CONCRETO PREMEZCLADO F'C 150 KG/CM2 AS=5,100.73
CON367,HABILIT PLTA CONCRETO PREMEZCLADO 3,221.49
CON368,HABILIT PLTA CONCRETO PREMEZCLADO 3-SABA,221.49
CON369,HABILT. PTA CONCRETO PREMEZCLADO 1 DOMIN,243.51
CON370,HABILIT PLTA CONCRETO PREMEZCLADO 1-SABA,250.13
CON371,HABILIT PLTA CONCRETO PREMEZCLADO 2-SABA,277.69
CON372,HABILIT PLTA CONCRETO PREMEZCLADO 2-DOMI,330.58
ACA164,LAMINA PLYCEM 3.05 X1.22 E= 8MM FIBROCEM,77.09
ACA165,LAMINA PLYCEM 2.44X1.22 E=8MM FIBROCEMEN,59.09
ACA166,LAMINA PLYCEM 3.05 X1.22 E=11MM FIBROCEM,96.06
ACA167,LAMINA PLYCEM 2.44X1.22 E=11MM FIBROCEME,91.3
ELE245,MATERIALES VARIOS,0.11
ACA168,LAMINA PLYCEM 3.05 X1.22 E=14MM FIBROCEM,120.27
ACA169,LAMINA PLYCEM 2.44X1.22M E=14MM FIBROCEM,96.66
ACA170,LAMINA PLYCEM 3.05 X1.22 E=17MM FIBROCEM,142.6
ACA171,LAMINA PLYCEM 2.44 X1.22 E=17MM FIBROCEM,112.19
ACA172,LAMINA PLYCEM 3.05X1.22 E=20MM FIBROCEME,167.78
ACA173,LAMINA PLYCEM 2.44X1.22M E=20 MM FIBROCE,175.19
ACA174,PIEDRATEJA 0.61 X 0.83 (ROJO Y VERDE),4.41
ACA175,PIEDRATEJA 1.16 X 0.83 (ROJO Y VERDE),8.81
ACA176,PIEDRATEJA 1.50 X 0.83  (ROJO Y VERDE),9.88
ACA177,PIEDRATEJA 1.83 X 0.83  (ROJO Y VERDE),12.13
ACA178,PIEDRATEJA 2.14 X 0.83  (ROJO Y VERDE),15.23
ACA179,CINTA REFORZADA,0.16
ACA180,TORNILLO PUNTA BROCA P/FIBROCEMENTO/PLYC,0.13
ACA181,TORNILLO AVELLANADOR FIBROCEMENTO/PLYCEM,0.11
ACA182,"LAMINA YESO RH 4' X 8' X1/2"" 1,2 X 2,4M ",30.63
ACA183,"LAMINA FIBROCEM. 2,44X1,22 X 8MM ETERNIT",63.47
ACA184,"ESQUINERO METALICO 1 1/4"" X 10' - 2,44M ",2.72
ACA185,"RAMPLUG PLASTICO  3/8"" COLOR NARANJA",0.21
ACA186,MASTIQUE/MASILLA PARA GRANITO O MARMOL,71.65
ACA187,"TORNILLO P/TABIQUES DRY WALL 6 X 2""",0.06
